alley,aly
anex,anx
arcade,arc
avenue,ave
bayou,byu
beach,bch
bend,bnd
bluff,blf
bluffs,blfs
bottom,btm
boulevard,blvd
branch,br
bridge,brg
brook,brk
burg,bg
bypass,byp
camp,cp
canyon,cyn
cape,cpe
causeway,cswy
center,ctr
centers,ctrs
circle,cir
circle,cr
cliff,clf
cliffs,clfs
club,clb
common,cmn
commons,cmns
corner,cor
corners,cors
course,crse
court,ct
courts,cts
cove,cv
coves,cvs
creek,crk
crescent,cres
crest,crst
crossing,xing
crossroads,xrds
crossroad,xrd
curve,curv
dale,dl
dam,dm
divide,dv
drive,dr
drives,drs
estate,est
estates,ests
expressway,expy
extension,ext
falls,fls
ferry,fry
field,fld
fields,flds
flat,flt
flats,flts
ford,frd
forest,frst
forge,frg
fork,frk
forks,frks
fort,ft
freeway,fwy
garden,gdn
gardens,gdns
gateway,gtwy
glen,gln
green,grn
greens,grns
grove,grv
groves,grvs
harbor,hbr
haven,hvn
heights,hts
highway,hwy
hill,hl
hills,hls
hollow,holw
inlet,inlt
island,is
junction,jct
key,ky
knoll,knl
knolls,knls
lake,lk
lakes,lks
landing,lndg
lane,ln
lights,lgts
loaf,lf
lock,lck
lodge,ldg
manor,mnr
meadow,mdw
meadows,mdws
mill,ml
mills,mls
mission,msn
motorway,mtwy
mountain,mtn
mountains,mtns
mount,mt
neck,nck
orchard,orch
overpass,opas
parks,park
parkway,pkwy
parkways,pkwy
passage,psge
pine,pne
pines,pnes
place,pl
plain,pln
plains,plns
plaza,plz
point,pt
points,pts
port,prt
prairie,pr
radial,radl
ranch,rnch
rapids,rpds
rest,rst
ridge,rdg
river,riv
road,rd
roads,rds
route,rte
shoal,shl
shoals,shls
shore,shr
shores,shrs
skyway,skwy
spring,spg
springs,spgs
spurs,spur
square,sq
station,sta
stravenue,stra
stream,strm
streets,sts
street,st
summit,smt
terrace,ter
throughway,trwy
trace,trce
track,trak
trafficway,trfy
trailer,trlr
trail,trl
tunnel,tunl
turnpike,tpke
underpass,upas
union,un
valley,vly
viaduct,via
view,vw
village,vlg
ville,vl
vista,vis
walks,walk
west,w
east,e
south,s
north,n
southwest,sw
northwest,nw
southeast,se
northeast,ne